FID,COUNTY,DLAT_GIS,DLONG_GIS,LINE,STOP_NUM,STOP_TYPE,STREET_DIR,DESCRIPTION_BSL,DIRECTION_OP,MUNICIPALITY,GlobalID
30448,Essex,40.72093,-74.2252,37,17819,NS,N,GROVE ST AT HERPERS ST,Ou,IRVINGTON TWP,9dd47d93-3ac8-4167-85bd-20fefa063e33
30449,Essex,40.72093,-74.2252,107,17819,NS,N,GROVE ST AT HERPERS ST,Ou,IRVINGTON TWP,f3cde248-5286-4a0d-8710-94c38b3bafd8
30450,Essex,40.72115,-74.22518,90,17841,NS,S,GROVE ST AT HERPERS ST,Ou,IRVINGTON TWP,8fc8919f-8a25-4eec-aa65-f5c9d6d793dd
30451,Essex,40.79417,-74.23053,97,19442,NS,N,HARRISON AVE AT ELM ST,In,WEST ORANGE TWP,65a3bde8-d8f0-475d-9f49-ff86a81d387f
30452,Essex,40.79419,-74.23067,97,19445,FS,S,HARRISON AVE AT ELM ST,Ou,WEST ORANGE TWP,4a3fa65f-a13a-4f07-bfcd-977f7562c5c4
30453,Essex,40.77684,-74.17063,99,18659,NS,E,HELLER PKWY AT LAKE ST,In,NEWARK,70298ad9-9b33-419d-b883-1d2434264126
30454,Essex,40.77698,-74.1702,27,18664,NS,W,HELLER PKWY AT LAKE ST,In,NEWARK,525e42d9-7fd0-4572-8527-c60c46ea14f8
30455,Essex,40.77698,-74.1702,74,18664,NS,W,HELLER PKWY AT LAKE ST,In,NEWARK,a41f9adf-ea73-4d02-89d6-238e6acb8523
30456,Essex,40.77684,-74.17063,27,18659,NS,E,HELLER PKWY AT LAKE ST,Ou,NEWARK,dcae63dd-d3b2-4195-9b79-70bd786b4628
30457,Essex,40.77684,-74.17063,74,18659,NS,E,HELLER PKWY AT LAKE ST,Ou,NEWARK,3452e748-f762-477f-bf0f-4bf621a64d8a
30458,Essex,40.77698,-74.1702,99,18664,NS,W,HELLER PKWY AT LAKE ST,Ou,NEWARK,572cbfef-a28e-4098-8769-ba0997d4b8af
